T(K),Rs(Ohmsq)
70.939,2445.99135
70.982,2445.33072
71.015,2446.1276
71.054,2452.54334
71.095,2455.54827
71.13,2458.73378
71.17,2464.97812
71.205,2466.23232
71.242,2466.4175
71.281,2468.45442
71.319,2466.14033
71.359,2474.76075
71.392,2474.50918
71.43,2478.1239
71.47,2480.03236
71.511,2483.29253
71.544,2486.67656
71.584,2489.43426
71.619,2486.09849
71.654,2488.54134
71.698,2496.12941
71.733,2495.73121
71.764,2495.87299
71.806,2503.10805
71.838,2509.37956
71.882,2512.34041
71.918,2508.81572
71.954,2511.46721
71.99,2509.55488
72.024,2518.31117
72.061,2519.61015
72.094,2527.18095
72.135,2523.92411
72.172,2524.82124
72.207,2528.89816
72.246,2525.45564
72.28,2532.62557
72.314,2536.93878
72.352,2538.06935
72.388,2539.44535
72.423,2542.22263
72.463,2544.3659
72.494,2542.46717
72.528,2548.92797
72.568,2550.20201
72.6,2554.67742
72.637,2550.53042
72.673,2557.0519
72.708,2559.87569
72.745,2561.487
72.779,2562.58787
72.815,2570.20884
72.849,2567.17091
72.886,2570.00281
72.922,2572.108
72.96,2574.42491
72.991,2577.01236
73.028,2578.08752
73.059,2585.04548
73.1,2582.84989
73.134,2584.50487
73.171,2588.04615
73.206,2588.51112
73.241,2590.50035
73.275,2593.53869
73.312,2594.85226
73.349,2597.53691
73.383,2597.96753
73.425,2599.75237
73.458,2601.39142
73.494,2604.35203
73.531,2607.1045
73.564,2609.88032
73.603,2609.57378
73.635,2607.94066
73.67,2610.12892
73.706,2616.52802
73.74,2617.74312
73.776,2620.80719
73.813,2620.91454
73.85,2623.58121
73.883,2626.92423
73.919,2628.79017
73.951,2629.99384
73.991,2633.84143
74.026,2631.73769
74.064,2634.63806
74.098,2638.00995
74.132,2639.05336
74.168,2638.16485
74.2,2644.22123
74.235,2644.92399
74.272,2645.65607
74.308,2645.83935
74.337,2648.98983
74.375,2653.60958
74.407,2659.41016
74.445,2656.24376
74.481,2659.66406
74.516,2658.56421
74.55,2660.86014
74.585,2663.31236
74.616,2664.88403
74.654,2669.86352
74.688,2668.56338
74.719,2670.14761
74.754,2671.10975
74.788,2672.98254
74.824,2676.51446
74.856,2676.72602
74.893,2680.05012
74.928,2682.03632
74.963,2678.01337
74.997,2684.00269
75.032,2691.63316
75.066,2687.01734
75.103,2688.80813
75.131,2692.57166
75.17,2692.56663
75.202,2694.35863
75.24,2696.60479
75.278,2698.11607
75.311,2700.03994
75.346,2701.28448
75.382,2702.66646
75.414,2703.01073
75.45,2706.27453
75.484,2708.95502
75.521,2710.03521
75.554,2707.39762
75.586,2713.00514
75.625,2714.28238
75.655,2717.10258
75.692,2714.26942
75.727,2718.09454
75.76,2721.93162
75.795,2718.36727
75.83,2723.49656
75.86,2726.03299
75.899,2726.97429
75.932,2726.96548
75.965,2734.9851
75.999,2731.65236
76.033,2733.80768
76.067,2739.43862
76.102,2736.6889
76.136,2734.2398
76.169,2739.84738
76.203,2740.07443
76.238,2742.66792
76.273,2741.97866
76.302,2745.79008
76.335,2745.85411
76.373,2745.50704
76.405,2750.30898
76.438,2751.75441
76.471,2751.03113
76.506,2753.06928
76.541,2758.35064
76.571,2756.89378
76.609,2755.71924
76.642,2759.79104
76.673,2762.64592
76.707,2763.32788
76.74,2764.83218
76.775,2765.87513
76.803,2763.09986
76.837,2768.6114
76.871,2770.29859
76.905,2772.38022
76.94,2772.59686
76.976,2775.14215
77.007,2781.29907
77.032,2778.06189
77.072,2779.73586
77.101,2778.59983
77.139,2781.77411
77.172,2783.09574
77.205,2783.66967
77.236,2786.58772
77.269,2785.5815
77.305,2786.55921
77.332,2789.28804
77.369,2792.58408
77.401,2792.965
77.434,2791.91694
77.467,2793.70692
77.498,2795.31968
77.532,2797.60337
77.562,2799.34494
77.597,2799.80569
77.631,2801.21854
77.669,2807.49132
77.704,2802.75932
77.733,2800.90316
77.766,2805.61087
77.796,2806.31884
77.832,2807.78085
77.863,2808.79249
77.896,2811.47897
77.928,2810.97507
77.961,2809.02754
77.996,2815.55031
78.03,2816.70982
78.059,2817.28275
78.099,2817.23092
78.129,2820.59869
78.159,2821.49865
78.194,2821.00792
78.227,2826.98366
78.259,2825.16611
78.293,2825.15793
78.327,2827.31112
78.359,2827.24518
78.387,2828.79467
78.425,2827.77203
78.451,2830.94089
78.487,2835.62717
78.52,2834.22336
78.558,2834.55903
78.584,2836.14134
78.618,2836.93652
78.65,2837.85771
78.683,2839.62304
78.718,2840.41925
78.746,2840.63122
78.783,2843.87343
78.814,2845.35154
78.847,2844.69514
78.876,2841.86324
78.909,2846.96208
78.94,2847.97751
78.971,2850.35411
79.004,2850.8677
79.038,2851.84274
79.069,2849.088
79.101,2855.24746
79.131,2856.28153
79.167,2856.7524
79.201,2856.55047
79.232,2863.06706
79.259,2858.64098
79.295,2860.73575
79.322,2861.69952
79.359,2862.20136
79.389,2860.37743
79.419,2864.84849
79.457,2866.62203
79.486,2867.87318
79.518,2868.01796
79.549,2869.07193
79.582,2871.49047
79.612,2871.26751
79.641,2873.68567
79.676,2871.76461
79.706,2877.45879
79.741,2875.44348
79.775,2876.34536
79.797,2877.80218
79.831,2879.55906
79.864,2879.93411
79.896,2882.00405
79.928,2883.45198
79.962,2884.38095
79.992,2884.24521
80.022,2885.9938
80.054,2886.47164
80.091,2887.38746
80.121,2888.27449
80.151,2887.37324
80.183,2889.39067
80.218,2895.40789
80.25,2892.69757
80.278,2892.7251
80.312,2899.43202
80.344,2895.8953
80.375,2896.26276
80.411,2898.19336
80.439,2899.58847
80.475,2895.84485
80.503,2900.53537
80.537,2902.80446
80.566,2899.18424
80.598,2904.60688
80.63,2908.1068
80.666,2906.72865
80.692,2907.30542
80.727,2910.65226
