# Adapted from Miriade.ephemcc.results
# Request:
# targetType: Planet,targetNumber: 4,targetName: Mars,Diameter: 6780.00 km,Orbital period: 6.86980000E+02 d,Time_Scale: UTC,Planetary_Theory: INPOP13C,Coordinates: Ecliptic,frameType: Astrometric J2000,frameCentre: Geocenter
# Nb rows: 900
Target,Date,Longitude (d:m:s),Longitude (decimal),Latitude (d:m:s),Latitude (decimal)
Mars,2015-08-01,114 36 2.4869,114.60069081,+00 57 41.3475,0.96148542
Mars,2015-08-02,115 15 8.1036,115.25225100,+00 58 3.7381,0.96770503
Mars,2015-08-03,115 54 11.8859,115.90330164,+00 58 25.9737,0.97388158
Mars,2015-08-04,116 33 13.8706,116.55385294,+00 58 48.0585,0.98001625
Mars,2015-08-05,117 12 14.0870,117.20391306,+00 59 9.9969,0.98611025
Mars,2015-08-06,117 51 12.5558,117.85348772,+00 59 31.7932,0.99216478
Mars,2015-08-07,118 30 9.2895,118.50258042,+00 59 53.4516,0.99818100
Mars,2015-08-08,119 9 4.2925,119.15119236,+01 0 14.9757,1.00415992
Mars,2015-08-09,119 47 57.5632,119.79932311,+01 0 36.3683,1.01010231
Mars,2015-08-10,120 26 49.0954,120.44697094,+01 0 57.6315,1.01600875
Mars,2015-08-11,121 5 38.8790,121.09413306,+01 1 18.7668,1.02187967
Mars,2015-08-12,121 44 26.9022,121.74080617,+01 1 39.7750,1.02771528
Mars,2015-08-13,122 23 13.1518,122.38698661,+01 2 0.6561,1.03351558
Mars,2015-08-14,123 1 57.6147,123.03267075,+01 2 21.4096,1.03928044
Mars,2015-08-15,123 40 40.2785,123.67785514,+01 2 42.0346,1.04500961
Mars,2015-08-16,124 19 21.1322,124.32253672,+01 3 2.5298,1.05070272
Mars,2015-08-17,124 58 0.1667,124.96671297,+01 3 22.8936,1.05635933
Mars,2015-08-18,125 36 37.3753,125.61038203,+01 3 43.1242,1.06197894
Mars,2015-08-19,126 15 12.7539,126.25354275,+01 4 3.2196,1.06756100
Mars,2015-08-20,126 53 46.3011,126.89619475,+01 4 23.1780,1.07310500
Mars,2015-08-21,127 32 18.0183,127.53833842,+01 4 42.9972,1.07861033
Mars,2015-08-22,128 10 47.9101,128.17997503,+01 5 2.6755,1.08407653
Mars,2015-08-23,128 49 15.9845,128.82110681,+01 5 22.2111,1.08950308
Mars,2015-08-24,129 27 42.2534,129.46173706,+01 5 41.6024,1.09488956
Mars,2015-08-25,130 6 6.7331,130.10187031,+01 6 0.8481,1.10023558
Mars,2015-08-26,130 44 29.4453,130.74151258,+01 6 19.9476,1.10554100
Mars,2015-08-27,131 22 50.4176,131.38067156,+01 6 38.9007,1.11080575
Mars,2015-08-28,132 1 9.6833,132.01935647,+01 6 57.7080,1.11603000
Mars,2015-08-29,132 39 27.2807,132.65757797,+01 7 16.3715,1.12121431
Mars,2015-08-30,133 17 43.2510,133.29534750,+01 7 34.8939,1.12635942
Mars,2015-08-31,133 55 57.6350,133.93267639,+01 7 53.2791,1.13146642
Mars,2015-09-01,134 34 10.4696,134.56957489,+01 8 11.5315,1.13653653
Mars,2015-09-02,135 12 21.7844,135.20605122,+01 8 29.6561,1.14157114
Mars,2015-09-03,135 50 31.5997,135.84211103,+01 8 47.6572,1.14657144
Mars,2015-09-04,136 28 39.9264,136.47775733,+01 9 5.5392,1.15153867
Mars,2015-09-05,137 6 46.7665,137.11299069,+01 9 23.3052,1.15647367
Mars,2015-09-06,137 44 52.1149,137.74780969,+01 9 40.9576,1.16137711
Mars,2015-09-07,138 22 55.9612,138.38221144,+01 9 58.4982,1.16624950
Mars,2015-09-08,139 0 58.2912,139.01619200,+01 10 15.9277,1.17109103
Mars,2015-09-09,139 38 59.0878,139.64974661,+01 10 33.2464,1.17590178
Mars,2015-09-10,140 16 58.3327,140.28287019,+01 10 50.4538,1.18068161
Mars,2015-09-11,140 54 56.0064,140.91555733,+01 11 7.5491,1.18543031
Mars,2015-09-12,141 32 52.0895,141.54780264,+01 11 24.5309,1.19014747
Mars,2015-09-13,142 10 46.5629,142.17960081,+01 11 41.3977,1.19483269
Mars,2015-09-14,142 48 39.4084,142.81094678,+01 11 58.1474,1.19948539
Mars,2015-09-15,143 26 30.6094,143.44183594,+01 12 14.7781,1.20410503
Mars,2015-09-16,144 4 20.1510,144.07226417,+01 12 31.2876,1.20869100
Mars,2015-09-17,144 42 8.0205,144.70222792,+01 12 47.6735,1.21324264
Mars,2015-09-18,145 19 54.2078,145.33172439,+01 13 3.9339,1.21775942
Mars,2015-09-19,145 57 38.7059,145.96075164,+01 13 20.0666,1.22224072
Mars,2015-09-20,146 35 21.5107,146.58930853,+01 13 36.0698,1.22668606
Mars,2015-09-21,147 13 2.6224,147.21739511,+01 13 51.9419,1.23109497
